Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",91238.65,2072.91,3039.95,Fixed Deposits,Debt Management,Debt Reduction,Not Implemented,Unsatisfied,Neutral,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",19920.25,4802.26,1452.03,Bonds,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Very Satisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",68793.67,0.0,1624.53,Fixed Deposits,Tax Planning,Tax Savings,Partially Implemented,Satisfied,Very Unsatisfied,Low
*,*,*,*,*,76564.99,0.0,3385.17,*,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",22594.62,1246.54,4256.33,Cryptocurrency,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",22987.03,0.0,4885.17,Stocks,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Unsatisfied,Low
*,*,*,*,*,90100.66,0.0,879.18,*,Savings Plan,Debt Reduction,Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",73013.99,3863.01,4237.35,Cryptocurrency,Savings Plan,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",36635.97,0.0,4796.06,Mutual Funds,Retirement Planning,Retirement Fund Building,Not Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",61477.64,551.65,4988.79,Mutual Funds,Debt Management,Increase Savings,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",55329.83,0.0,1205.27,Real Estate,Savings Plan,Debt Reduction,Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",21456.01,0.0,1896.69,Bonds,Savings Plan,Retirement Fund Building,Implemented,Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24538.64,0.0,3144.19,Stocks,Retirement Planning,Debt Reduction,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",70799.92,0.0,4454.87,Stocks,Savings Plan,Tax Savings,Implemented,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",84581.42,388.68,2694.23,Real Estate,Retirement Planning,Tax Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",23263.34,0.0,4005.45,Real Estate,Debt Management,Retirement Fund Building,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",85759.29,2877.03,945.88,Real Estate,Investment Strategy,Tax Savings,Seeking Further Consultation,Unsatisfied,Neutral,Moderate
*,*,*,*,*,57033.74,0.0,1127.46,*,Retirement Planning,Retirement Fund Building,Not Implemented,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",84533.18,699.86,1510.03,Bonds,Tax Planning,High ROI Investments,Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",9771.53,1074.58,4082.54,Gold,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",64786.43,2424.26,4344.97,Cryptocurrency,Investment Strategy,Increase Savings,Not Implemented,Very Unsatisfied,Unsatisfied,High
*,*,*,*,*,97462.33,408.11,4718.05,*,Tax Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",96351.16,4476.51,598.04,Real Estate,Savings Plan,Debt Reduction,Not Implemented,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",98010.46,0.0,4142.62,Real Estate,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",70077.37,0.0,4285.94,Fixed Deposits,Savings Plan,Retirement Fund Building,Implemented,Very Satisfied,Very Satisfied,Moderate
*,*,*,*,*,76711.25,0.0,2358.7,*,Savings Plan,Debt Reduction,Implemented,Very Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",25797.82,1928.43,2208.02,Real Estate,Investment Strategy,High ROI Investments,Not Implemented,Satisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",42117.13,0.0,1788.49,Fixed Deposits,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",43905.22,1187.77,1090.2,Bonds,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",67301.44,0.0,4043.55,Mutual Funds,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",15885.94,2310.16,2575.01,Real Estate,Debt Management,High ROI Investments,Partially Implemented,Very Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",74442.76,0.0,1785.89,Mutual Funds,Investment Strategy,Increase Savings,Not Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",96824.45,0.0,3727.05,Gold,Debt Management,High ROI Investments,Implemented,Satisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",14097.22,0.0,3964.54,Cryptocurrency,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",44718.27,0.0,1661.21,Mutual Funds,Savings Plan,Increase Savings,Partially Implemented,Neutral,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",98581.43,686.54,4276.38,Mutual Funds,Tax Planning,Debt Reduction,Implemented,Neutral,Very Satisfied,Moderate
*,*,*,*,*,25508.9,0.0,3625.9,*,Savings Plan,Debt Reduction,Not Implemented,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",36772.39,1378.9,2529.67,Fixed Deposits,Savings Plan,High ROI Investments,Seeking Further Consultation,Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",65036.42,2956.84,2799.82,Mutual Funds,Debt Management,Tax Savings,Seeking Further Consultation,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",62081.26,0.0,2810.5,Real Estate,Retirement Planning,Debt Reduction,Not Implemented,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",45217.02,0.0,3355.37,Real Estate,Debt Management,High ROI Investments,Partially Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",17128.31,1753.07,2791.93,Cryptocurrency,Investment Strategy,Tax Savings,Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",21715.59,4130.34,1012.67,Real Estate,Tax Planning,High ROI Investments,Implemented,Neutral,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",30426.47,0.0,597.57,Cryptocurrency,Tax Planning,Retirement Fund Building,Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",98493.6,3891.8,1950.43,Mutual Funds,Tax Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",60848.12,0.0,2257.41,Bonds,Tax Planning,Debt Reduction,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",42614.87,3946.12,1201.12,Real Estate,Investment Strategy,Debt Reduction,Seeking Further Consultation,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",25774.7,0.0,3788.3,Real Estate,Retirement Planning,Increase Savings,Implemented,Very Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",21128.28,0.0,3307.9,Gold,Debt Management,Debt Reduction,Implemented,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",95055.32,4595.68,3269.55,Bonds,Debt Management,High ROI Investments,Not Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",87798.67,1073.52,2343.34,Fixed Deposits,Investment Strategy,Retirement Fund Building,Partially Implemented,Satisfied,Satisfied,Low
*,*,*,*,*,15049.64,1613.29,2495.34,*,Savings Plan,Tax Savings,Implemented,Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",64439.19,0.0,3485.19,Cryptocurrency,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",94776.07,0.0,2729.63,Mutual Funds,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",82966.55,0.0,4826.65,Fixed Deposits,Tax Planning,Debt Reduction,Not Implemented,Very Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",23937.18,512.34,1702.21,Gold,Retirement Planning,Increase Savings,Implemented,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",94130.26,3788.06,4688.44,Cryptocurrency,Investment Strategy,Increase Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",11136.24,14.92,2077.64,Mutual Funds,Tax Planning,Debt Reduction,Not Implemented,Very Satisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",11321.98,0.0,851.22,Fixed Deposits,Savings Plan,Debt Reduction,Not Implemented,Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",29528.01,1855.57,4288.43,Cryptocurrency,Retirement Planning,Retirement Fund Building,Implemented,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",61176.07,0.0,3552.46,Cryptocurrency,Tax Planning,High ROI Investments,Not Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",37578.08,0.0,1979.94,Stocks,Savings Plan,High ROI Investments,Partially Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",52176.53,2560.35,2119.75,Bonds,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,Moderate
*,*,*,*,*,95071.07,0.0,3153.46,*,Retirement Planning,Increase Savings,Not Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",18124.36,2206.08,1319.94,Cryptocurrency,Tax Planning,Increase Savings,Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",77247.07,2071.69,1683.11,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",88981.1,2550.52,885.56,Cryptocurrency,Debt Management,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",98942.78,4893.86,942.84,Fixed Deposits,Savings Plan,Debt Reduction,Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",86885.76,2033.55,3436.55,Cryptocurrency,Retirement Planning,Tax Savings,Not Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",33914.27,974.14,2073.5,Mutual Funds,Debt Management,Increase Savings,Implemented,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",70757.78,4263.64,1201.95,Real Estate,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Neutral,Low
*,*,*,*,*,78816.37,0.0,4163.77,*,Retirement Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",43756.45,0.0,1781.58,Fixed Deposits,Tax Planning,Tax Savings,Implemented,Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",15537.92,0.0,1215.52,Stocks,Retirement Planning,Debt Reduction,Partially Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",11737.94,3857.1,4761.54,Real Estate,Investment Strategy,Retirement Fund Building,Not Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",25551.27,0.0,2040.38,Gold,Savings Plan,Increase Savings,Not Implemented,Neutral,Neutral,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",93735.11,344.01,2529.42,Mutual Funds,Investment Strategy,Tax Savings,Implemented,Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",82802.89,0.0,4506.53,Real Estate,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",15432.32,0.0,2666.23,Cryptocurrency,Debt Management,Increase Savings,Implemented,Unsatisfied,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",54208.26,0.0,3886.89,Cryptocurrency,Savings Plan,Retirement Fund Building,Implemented,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",61260.31,0.0,4710.64,Bonds,Retirement Planning,High ROI Investments,Implemented,Very Satisfied,Unsatisfied,Moderate
*,*,*,*,*,16914.78,0.0,4126.75,*,Investment Strategy,Increase Savings,Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",15279.24,0.0,1981.99,Stocks,Debt Management,Tax Savings,Seeking Further Consultation,Unsatisfied,Neutral,High
*,*,*,*,*,63480.61,0.0,2787.28,*,Savings Plan,Debt Reduction,Implemented,Unsatisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",15956.23,4462.0,3159.1,Bonds,Retirement Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",36552.74,802.78,3272.74,Cryptocurrency,Savings Plan,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",93940.24,0.0,4401.06,Cryptocurrency,Savings Plan,Increase Savings,Implemented,Satisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",93950.56,0.0,3639.74,Bonds,Retirement Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",64845.84,3771.41,2241.71,Fixed Deposits,Investment Strategy,Debt Reduction,Not Implemented,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",54653.58,0.0,3451.04,Stocks,Savings Plan,Debt Reduction,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",93767.01,0.0,2791.99,Mutual Funds,Retirement Planning,Tax Savings,Partially Implemented,Satisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",60253.56,0.0,4457.23,Fixed Deposits,Debt Management,Debt Reduction,Not Implemented,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",73146.98,4779.07,3090.33,Real Estate,Debt Management,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",85039.33,453.92,2864.98,Fixed Deposits,Retirement Planning,Increase Savings,Not Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",51811.8,0.0,4968.96,Real Estate,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",43091.72,0.0,988.02,Stocks,Debt Management,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",23991.11,3827.76,4644.33,Fixed Deposits,Retirement Planning,Debt Reduction,Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",79108.13,1074.18,666.76,Gold,Savings Plan,Debt Reduction,Not Implemented,Very Satisfied,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",11468.88,3223.89,2164.75,Cryptocurrency,Savings Plan,Retirement Fund Building,Not Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",99102.06,3424.28,1970.23,Gold,Savings Plan,Tax Savings,Not Implemented,Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",89261.66,0.0,2823.38,Cryptocurrency,Retirement Planning,Tax Savings,Implemented,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",82690.0,0.0,4980.07,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",38255.57,1894.3,2338.19,Bonds,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",61406.06,0.0,2529.15,Mutual Funds,Debt Management,High ROI Investments,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",81044.78,0.0,3861.59,Cryptocurrency,Retirement Planning,Tax Savings,Seeking Further Consultation,Unsatisfied,Satisfied,Low
*,*,*,*,*,54289.67,0.0,4966.38,*,Investment Strategy,Debt Reduction,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",57682.45,0.0,2616.43,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",38396.05,3872.46,1805.8,Stocks,Retirement Planning,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,*,*,*,*,90472.16,360.46,1933.85,*,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
*,*,*,*,*,96313.48,0.0,613.87,*,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",11137.71,4275.97,4188.2,Gold,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",43576.38,0.0,3488.43,Cryptocurrency,Debt Management,High ROI Investments,Seeking Further Consultation,Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",10297.84,40.25,510.05,Cryptocurrency,Tax Planning,Debt Reduction,Not Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",91896.49,848.8,3553.13,Mutual Funds,Retirement Planning,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,*,*,*,*,74432.21,791.02,3688.01,*,Savings Plan,Retirement Fund Building,Not Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",70531.76,4145.32,688.44,Stocks,Savings Plan,High ROI Investments,Seeking Further Consultation,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",31423.8,0.0,1020.53,Gold,Tax Planning,Debt Reduction,Partially Implemented,Satisfied,Unsatisfied,High
*,*,*,*,*,11538.11,0.0,812.94,*,Investment Strategy,Increase Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",42123.85,2624.0,4301.75,Mutual Funds,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Neutral,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",67973.14,3955.31,3472.96,Stocks,Tax Planning,Increase Savings,Implemented,Unsatisfied,Satisfied,Low
*,*,*,*,*,22533.49,0.0,4060.46,*,Savings Plan,Debt Reduction,Not Implemented,Very Satisfied,Neutral,Low
*,*,*,*,*,96527.28,0.0,1279.2,*,Retirement Planning,High ROI Investments,Not Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",88564.2,3244.19,1092.44,Real Estate,Savings Plan,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",85661.53,4982.09,4054.23,Gold,Retirement Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Neutral,Low
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",18026.2,2272.79,3219.21,Bonds,Debt Management,Increase Savings,Not Implemented,Very Unsatisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",65975.96,3295.5,1677.08,Mutual Funds,Retirement Planning,Retirement Fund Building,Implemented,Neutral,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",40904.41,2000.12,1180.76,Bonds,Savings Plan,High ROI Investments,Implemented,Neutral,Neutral,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",91130.32,0.0,3078.6,Bonds,Tax Planning,Retirement Fund Building,Partially Implemented,Unsatisfied,Satisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",56330.21,4205.23,684.6,Fixed Deposits,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",71025.3,0.0,2184.09,Real Estate,Retirement Planning,Increase Savings,Partially Implemented,Unsatisfied,Neutral,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",73057.13,0.0,3966.15,Fixed Deposits,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Satisfied,High
*,*,*,*,*,69108.9,0.0,3936.85,*,Debt Management,Debt Reduction,Seeking Further Consultation,Unsatisfied,Unsatisfied,High
*,*,*,*,*,28593.91,0.0,2275.86,*,Investment Strategy,Increase Savings,Implemented,Neutral,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",76980.45,3047.02,4854.42,Bonds,Retirement Planning,Debt Reduction,Implemented,Satisfied,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",56414.27,1647.91,1131.89,Cryptocurrency,Investment Strategy,Tax Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",27425.77,970.04,4220.35,Mutual Funds,Retirement Planning,Increase Savings,Implemented,Neutral,Unsatisfied,High
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",86725.11,2005.28,4220.55,Stocks,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[5999.73, 9971.47[",26589.11,90.56,1881.18,Bonds,Investment Strategy,Debt Reduction,Partially Implemented,Satisfied,Neutral,Low
*,*,*,*,*,36812.05,0.0,1755.54,*,Retirement Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",44969.87,0.0,1681.58,Real Estate,Tax Planning,Retirement Fund Building,Implemented,Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",69578.7,681.92,1999.81,Stocks,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
*,*,*,*,*,39053.63,4081.05,1959.82,*,Debt Management,High ROI Investments,Seeking Further Consultation,Satisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",41722.11,3634.27,1911.68,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",9264.81,0.0,1078.24,Gold,Retirement Planning,High ROI Investments,Partially Implemented,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",66521.64,0.0,674.05,Gold,Tax Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",85795.67,0.0,1288.62,Bonds,Debt Management,Debt Reduction,Not Implemented,Unsatisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",19244.85,0.0,3082.12,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
*,*,*,*,*,35333.19,0.0,2466.14,*,Savings Plan,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",26867.28,0.0,3651.4,Real Estate,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Neutral,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",60308.51,4906.31,2600.31,Mutual Funds,Investment Strategy,Tax Savings,Implemented,Very Satisfied,Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",58254.75,0.0,3431.43,Cryptocurrency,Savings Plan,Tax Savings,Not Implemented,Neutral,Satisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",51506.53,0.0,4276.71,Fixed Deposits,Savings Plan,Retirement Fund Building,Implemented,Neutral,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",45038.16,2200.5,2729.9,Bonds,Debt Management,High ROI Investments,Not Implemented,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",45666.81,0.0,984.57,Gold,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",42460.08,0.0,4922.67,Cryptocurrency,Retirement Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Unsatisfied,Moderate
*,*,*,*,*,22046.72,0.0,4272.37,*,Retirement Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",81378.99,0.0,4171.0,Bonds,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Moderate
